 => 1, a, north
 => 3, d, south
 => 3, d, east
 => 4, d, east
 => 5, d, east
 => 5, d, south
 => 5, c, south
 => 5, c, south
 => 1, a, north
 => 1, a, north
 => 1, a, east
 => 2, a, east
 => 3, a, east
 => 3, a, north
 => 3, a, east
 => 4, a, east
 => 4, a, north
 => 4, b, north
 => 4, b, west
 => 3, b, west
 => 3, b, west
 => 3, b, north
 => 3, c, north
 => 3, d, north
 => 3, d, north
 => 3, e, north
 => 3, e, north
 => 3, e, east
 => 3, e, south
 => 3, d, south
 => 3, d, east
 => 4, d, east
 => 5, d, east
 => 5, d, south
 => 5, c, south
 => 5, c, south
 => 1, a, north
 => 1, a, east
 => 2, a, east
 => 3, a, east
 => 3, a, north
 => 3, a, east
 => 4, a, east
 => 4, a, north
 => 4, b, north
 => 4, b, west
 => 3, b, west
 => 3, b, west
 => 3, b, north
 => 3, c, north
 => 3, d, north
 => 3, d, north
 => 3, e, north
 => 3, e, north
 => 3, e, east
 => 3, e, south
 => 3, d, south
 => 3, d, east
 => 4, d, east
 => 5, d, east
 => 5, d, south
 => 5, c, south
 => 5, c, south
 => 1, a, north
 => 1, a, east
 => 2, a, east
 => 3, a, east
 => 3, a, north
 => 3, a, east
 => 4, a, east
 => 4, a, north
 => 4, b, north
 => 4, b, west
 => 3, b, west
 => 3, b, west
 => 3, b, north
 => 3, c, north
 => 3, d, north
 => 3, d, north
 => 3, e, north
 => 3, e, north
 => 3, e, east
 => 3, e, south
 => 3, d, south
 => 3, d, east
 => 4, d, east
 => 5, d, east
 => 5, d, south
 => 5, c, south
 => 5, c, south
 => 1, a, north
 => 1, a, east
 => 2, a, east
 => 3, a, east
 => 3, a, north
 => 3, a, east
 => 4, a, east
 => 4, a, north
 => 4, b, north
 => 4, b, west
 => 3, b, west
 => 3, b, west
 => 3, b, north
 => 3, c, north
 => 3, d, north
 => 3, d, north
 => 3, e, north
 => 3, e, north
 => 3, e, east
 => 3, e, south
 => 3, d, south
 => 3, d, east
 => 4, d, east
 => 5, d, east
 => 5, d, south
 => 5, c, south
 => 5, c, south
robot_A => 1, a, north
robot_A => 1, a, east
robot_A => 2, a, east
robot_A => 3, a, east
robot_A => 3, a, north
robot_A => 3, a, east
robot_A => 4, a, east
robot_A => 4, a, north
robot_A => 4, b, north
robot_A => 4, b, west
robot_A => 3, b, west
robot_A => 3, b, west
robot_A => 3, b, north
robot_A => 3, c, north
robot_A => 3, d, north
robot_A => 3, d, north
robot_A => 3, e, north
robot_A => 3, e, north
robot_A => 3, e, east
robot_A => 3, e, south
robot_A => 3, d, south
robot_A => 3, d, east
robot_A => 4, d, east
robot_A => 5, d, east
robot_A => 5, d, south
robot_A => 5, c, south
robot_A => 5, c, south
robot_A => 1, a, north
robot_A => 1, a, east
robot_A => 2, a, east
robot_A => 3, a, east
robot_A => 3, a, north
robot_A => 3, a, east
robot_A => 4, a, east
robot_A => 4, a, north
robot_A => 4, b, north
robot_A => 4, b, west
robot_A => 3, b, west
robot_A => 3, b, west
robot_A => 3, b, north
robot_A => 3, c, north
robot_A => 3, d, north
robot_A => 3, d, north
robot_A => 3, e, north
robot_A => 3, e, north
robot_A => 3, e, east
robot_A => 3, e, south
robot_A => 3, d, south
robot_A => 3, d, east
robot_A => 4, d, east
robot_A => 5, d, east
robot_A => 5, d, south
robot_A => 5, c, south
robot_A => 5, c, south
robot_A => 1, a, north
robot_A => 1, a, east
robot_A => 2, a, east
robot_A => 3, a, east
robot_A => 3, a, north
robot_A => 3, a, east
robot_A => 4, a, east
robot_A => 4, a, north
robot_A => 4, b, north
robot_A => 4, b, west
robot_A => 3, b, west
robot_A => 3, b, west
robot_A => 3, b, north
robot_A => 3, c, north
robot_A => 3, d, north
robot_A => 3, d, north
robot_A => 3, e, north
robot_A => 3, e, north
robot_A => 3, e, east
robot_A => 3, e, south
robot_A => 3, d, south
robot_A => 3, d, east
robot_A => 4, d, east
robot_A => 5, d, east
robot_A => 5, d, south
robot_A => 5, c, south
robot_A => 5, c, south
robot_A => 1, a, north
robot_A => 1, a, east
robot_A => 1, a, north
robot_A => 1, a, east
robot_A => 1, a, north
robot_A => 1, a, east
robot_A => 1, a, north
robot_A => 1, a, east
robot_A => 2, a, east
robot_A => 3, a, east
robot_A => 3, a, north
robot_A => 3, a, east
robot_A => 4, a, east
robot_A => 4, a, north
robot_A => 4, b, north
robot_A => 4, b, west
robot_A => 3, b, west
robot_A => 3, b, west
robot_A => 3, b, north
robot_A => 3, c, north
robot_A => 3, d, north
robot_A => 3, d, north
robot_A => 3, e, north
robot_A => 3, e, north
robot_A => 3, e, east
robot_A => 3, e, south
robot_A => 3, d, south
robot_A => 3, d, east
robot_A => 4, d, east
robot_A => 5, d, east
robot_A => 5, d, south
robot_A => 5, c, south
robot_A => 5, c, south
robot_A => 1, a, north
robot_A => 1, a, east
robot_A => 2, a, east
robot_A => 3, a, east
robot_A => 3, a, north
robot_A => 3, a, east
robot_A => 4, a, east
robot_A => 4, a, north
robot_A => 4, b, north
robot_A => 4, b, west
robot_A => 3, b, west
robot_A => 3, b, west
robot_A => 3, b, north
robot_A => 3, c, north
robot_A => 3, d, north
robot_A => 3, d, north
robot_A => 3, e, north
robot_A => 3, e, north
robot_A => 3, e, east
robot_A => 3, e, south
robot_A => 3, d, south
robot_A => 3, d, east
robot_A => 4, d, east
robot_A => 5, d, east
robot_A => 5, d, south
robot_A => 5, c, south
robot_A => 5, c, south
robot_A => 1, a, north
robot_A => 1, a, east
robot_A => 2, a, east
robot_A => 3, a, east
robot_A => 3, a, north
robot_A => 3, a, east
robot_A => 4, a, east
robot_A => 4, a, north
robot_A => 4, b, north
robot_A => 4, b, west
robot_A => 3, b, west
robot_A => 3, b, west
robot_A => 3, b, north
robot_A => 3, c, north
robot_A => 3, d, north
robot_A => 3, d, north
robot_A => 3, e, north
robot_A => 3, e, north
robot_A => 3, e, east
robot_A => 3, e, south
robot_A => 3, d, south
robot_A => 3, d, east
robot_A => 4, d, east
robot_A => 5, d, east
robot_A => 5, d, south
robot_A => 5, c, south
robot_A => 5, c, south
robot_A => 1, a, north
robot_A => 1, a, east
robot_A => 2, a, east
robot_A => 3, a, east
robot_A => 3, a, north
robot_A => 3, a, east
robot_A => 4, a, east
robot_A => 4, a, north
robot_A => 4, b, north
robot_A => 4, b, west
robot_A => 3, b, west
robot_A => 3, b, west
robot_A => 3, b, north
robot_A => 3, c, north
robot_A => 3, d, north
robot_A => 3, d, north
robot_A => 3, e, north
robot_A => 3, e, north
robot_A => 3, e, east
robot_A => 3, e, south
robot_A => 3, d, south
robot_A => 3, d, east
robot_A => 4, d, east
robot_A => 5, d, east
robot_A => 5, d, south
robot_A => 5, c, south
robot_A => 5, c, south
robot_A => 1, a, north
robot_A => 1, a, north
robot_A => 1, a, north
robot_A => 1, a, east
robot_A => 2, a, east
robot_A => 3, a, east
robot_A => 3, a, north
robot_A => 3, a, east
robot_A => 4, a, east
robot_A => 4, a, north
robot_A => 4, b, north
robot_A => 4, b, west
robot_A => 3, b, west
robot_A => 3, b, west
robot_A => 3, b, north
robot_A => 3, c, north
robot_A => 3, d, north
robot_A => 3, d, north
robot_A => 3, e, north
robot_A => 3, e, north
robot_A => 3, e, east
robot_A => 3, e, south
robot_A => 3, d, south
robot_A => 3, d, east
robot_A => 4, d, east
robot_A => 5, d, east
robot_A => 5, d, south
robot_A => 5, c, south
robot_A => 5, c, south
robot_A => 1, a, north
robot_A => 1, a, east
robot_A => 2, a, east
robot_A => 3, a, east
robot_A => 3, a, north
robot_A => 3, a, east
robot_A => 4, a, east
robot_A => 4, a, north
robot_A => 4, b, north
robot_A => 4, b, west
robot_A => 3, b, west
robot_A => 3, b, west
robot_A => 3, b, north
robot_A => 3, c, north
robot_A => 3, d, north
robot_A => 3, d, north
robot_A => 3, e, north
robot_A => 3, e, north
robot_A => 3, e, east
robot_A => 3, e, south
robot_A => 3, d, south
robot_A => 3, d, east
robot_A => 4, d, east
robot_A => 5, d, east
robot_A => 5, d, south
robot_A => 5, c, south
robot_A => 5, c, south
robot_A => 1, a, north
robot_A => 1, a, east
robot_A => 2, a, east
robot_A => 3, a, east
robot_A => 3, a, north
robot_A => 3, a, east
robot_A => 4, a, east
robot_A => 4, a, north
robot_A => 4, b, north
robot_A => 4, b, west
robot_A => 3, b, west
robot_A => 3, b, west
robot_A => 3, b, north
robot_A => 3, c, north
robot_A => 3, d, north
robot_A => 3, d, north
robot_A => 3, e, north
robot_A => 3, e, north
robot_A => 3, e, east
robot_A => 3, e, south
robot_A => 3, d, south
robot_A => 3, d, east
robot_A => 4, d, east
robot_A => 5, d, east
robot_A => 5, d, south
robot_A => 5, c, south
robot_A => 5, c, south
robot_A => 1, a, north
robot_A => 1, a, east
robot_A => 2, a, east
robot_A => 3, a, east
robot_A => 3, a, north
robot_A => 3, a, east
robot_A => 4, a, east
robot_A => 4, a, north
robot_A => 4, b, north
robot_A => 4, b, west
robot_A => 3, b, west
robot_A => 3, b, west
robot_A => 3, b, north
robot_A => 3, c, north
robot_A => 3, d, north
robot_A => 3, d, north
robot_A => 3, e, north
robot_A => 3, e, north
robot_A => 3, e, east
robot_A => 3, e, south
robot_A => 3, d, south
robot_A => 3, d, east
robot_A => 4, d, east
robot_A => 5, d, east
robot_A => 5, d, south
robot_A => 5, c, south
robot_A => 5, c, south
 => 1, a, north
 => 1, a, north
 => 1, a, north
 => 1, a, north
 => 1, a, north
 => 1, a, north
 => 1, a, north
robot_B => 1, a, north
robot_B => 1, a, north
robot_B => 6, f, south
robot_B => 6, f, south
robot_A => 1, a, north
robot_A => 1, a, east
robot_A => 2, a, east
robot_A => 3, a, east
robot_A => 3, a, north
robot_A => 3, a, east
robot_A => 4, a, east
robot_A => 4, a, north
robot_A => 4, b, north
robot_A => 4, b, west
robot_A => 3, b, west
robot_A => 3, b, west
robot_A => 3, b, north
robot_A => 3, c, north
robot_A => 3, d, north
robot_A => 3, d, north
robot_A => 3, e, north
robot_A => 3, e, north
robot_A => 3, e, east
robot_A => 3, e, south
robot_A => 3, d, south
robot_A => 3, d, east
robot_A => 4, d, east
robot_A => 5, d, east
robot_A => 5, d, south
robot_A => 5, c, south
robot_A => 5, c, south
robot_B => 6, f, south
robot_B => 6, f, west
robot_B => 5, f, west
robot_B => 4, f, west
robot_B => 3, f, west
robot_B => 3, f, south
robot_B => 3, e, south
robot_B => 3, e, south
robot_B => 3, e, east
robot_B => 3, e, south
robot_B => 3, d, south
robot_B => 3, d, east
robot_B => 4, d, east
robot_B => 5, d, east
robot_B => 5, d, south
robot_B => 5, c, south
robot_B => 5, c, south
robot_B => 5, c, south
robot_B => 5, c, west
robot_B => 4, c, west
robot_B => 4, c, south
robot_B => 4, b, south
robot_B => 4, b, south
robot_B => 4, b, west
robot_B => 3, b, west
robot_B => 3, b, west
robot_B => 3, b, north
robot_B => 3, b, east
robot_B => 4, b, east
robot_B => 4, b, south
robot_B => 4, a, south
robot_B => 4, a, south
robot_B => 4, a, west
robot_B => 3, a, west
robot_B => 2, a, west
robot_B => 1, a, west
robot_B => 6, f, south
robot_B => 6, f, west
robot_B => 5, f, west
robot_A => 1, a, north
robot_B => 4, f, west
robot_A => 1, a, east
robot_B => 3, f, west
robot_A => 2, a, east
robot_B => 3, f, south
robot_A => 3, a, east
robot_B => 3, e, south
robot_A => 3, a, north
robot_B => 3, e, south
robot_A => 3, a, east
robot_A => 4, a, east
robot_B => 3, e, east
robot_B => 3, e, south
robot_A => 4, a, north
robot_B => 3, d, south
robot_B => 3, d, east
robot_A => 4, b, north
robot_B => 4, d, east
robot_A => 4, b, west
robot_A => 3, b, west
robot_A => 3, b, west
robot_B => 5, d, east
robot_B => 5, d, south
robot_A => 3, b, north
robot_A => 3, b, east
robot_B => 5, c, south
robot_A => 4, b, east
robot_B => 5, c, south
robot_B => 6, f, south
robot_B => 6, f, west
robot_B => 5, f, west
robot_B => 4, f, west
robot_B => 3, f, west
robot_B => 3, f, south
robot_B => 3, e, south
robot_B => 3, e, south
robot_B => 3, e, east
robot_B => 3, e, south
robot_B => 3, d, south
robot_B => 3, d, east
robot_B => 4, d, east
robot_A => 1, a, north
robot_B => 5, d, east
robot_A => 1, a, east
robot_B => 5, d, south
robot_A => 2, a, east
robot_B => 5, c, south
robot_A => 3, a, east
robot_B => 5, c, south
robot_A => 3, a, north
robot_B => 5, c, south
robot_A => 3, a, east
robot_B => 5, c, west
robot_A => 4, a, east
robot_B => 4, c, west
robot_B => 4, c, south
robot_A => 4, a, north
robot_B => 4, b, south
robot_B => 4, b, south
robot_A => 4, b, north
robot_B => 4, b, west
robot_A => 4, b, west
robot_B => 3, b, west
robot_A => 3, b, west
robot_A => 3, b, west
robot_A => 1, a, north
robot_A => 1, a, east
robot_A => 2, a, east
robot_A => 3, a, east
robot_A => 3, a, north
robot_A => 3, a, east
robot_A => 4, a, east
robot_A => 4, a, north
robot_A => 4, b, north
robot_A => 4, b, west
robot_A => 3, b, west
robot_A => 3, b, west
robot_A => 3, b, north
robot_A => 3, c, north
robot_A => 3, d, north
robot_A => 3, d, north
robot_A => 3, e, north
robot_A => 3, e, north
robot_A => 3, e, east
robot_A => 3, e, south
robot_A => 3, d, south
robot_A => 3, d, east
robot_A => 4, d, east
robot_A => 5, d, east
robot_A => 5, d, south
robot_A => 5, c, south
robot_A => 5, c, south
robot_B => 6, f, south
robot_B => 6, f, west
robot_B => 5, f, west
robot_B => 4, f, west
robot_B => 3, f, west
robot_B => 3, f, south
robot_B => 3, e, south
robot_B => 3, e, south
robot_B => 3, e, east
robot_B => 3, e, south
robot_B => 3, d, south
robot_B => 3, d, east
robot_B => 4, d, east
robot_B => 5, d, east
robot_B => 5, d, south
robot_B => 5, c, south
robot_B => 5, c, south
robot_B => 5, c, south
robot_B => 5, c, west
robot_B => 4, c, west
robot_B => 4, c, south
robot_B => 4, b, south
robot_B => 4, b, south
robot_B => 4, b, west
robot_B => 3, b, west
robot_B => 3, b, west
robot_B => 3, b, north
robot_B => 3, b, east
robot_B => 4, b, east
robot_B => 4, b, south
robot_B => 4, a, south
robot_B => 4, a, south
robot_B => 4, a, west
robot_B => 3, a, west
robot_B => 2, a, west
robot_B => 1, a, west
robot_B => 6, f, south
robot_B => 6, f, west
robot_B => 5, f, west
robot_B => 4, f, west
robot_B => 3, f, west
robot_B => 3, f, south
robot_B => 3, e, south
robot_B => 3, e, south
robot_B => 3, e, east
robot_B => 3, e, south
robot_B => 3, d, south
robot_B => 3, d, east
robot_B => 4, d, east
robot_B => 5, d, east
robot_B => 5, d, south
robot_B => 5, c, south
robot_B => 5, c, south
robot_B => 5, c, south
robot_B => 5, c, west
robot_B => 4, c, west
robot_B => 4, c, south
robot_B => 4, b, south
robot_B => 4, b, south
robot_B => 4, b, west
robot_B => 3, b, west
robot_B => 3, b, west
robot_B => 3, b, north
robot_B => 3, b, east
robot_B => 4, b, east
robot_B => 4, b, south
robot_B => 4, a, south
robot_B => 4, a, south
robot_B => 4, a, west
robot_B => 3, a, west
robot_B => 2, a, west
robot_A => 1, a, north
robot_A => 1, a, east
robot_A => 2, a, east
robot_A => 3, a, east
robot_A => 3, a, north
robot_A => 3, a, east
robot_A => 4, a, east
robot_A => 4, a, north
robot_A => 4, b, north
robot_A => 4, b, west
robot_A => 3, b, west
robot_A => 3, b, west
robot_A => 3, b, north
robot_A => 3, c, north
robot_A => 3, d, north
robot_A => 3, d, north
robot_A => 3, e, north
robot_A => 3, e, north
robot_A => 3, e, east
robot_A => 3, e, south
robot_A => 3, d, south
robot_A => 3, d, east
robot_A => 4, d, east
robot_A => 5, d, east
robot_A => 5, d, south
robot_A => 5, c, south
robot_A => 5, c, south
robot_A => 1, a, north
robot_A => 1, a, east
robot_A => 2, a, east
robot_A => 3, a, east
robot_A => 3, a, north
robot_A => 3, a, east
robot_A => 4, a, east
robot_A => 4, a, north
robot_A => 4, b, north
robot_A => 4, b, west
robot_A => 3, b, west
robot_A => 3, b, west
robot_A => 3, b, north
robot_A => 3, c, north
robot_A => 3, d, north
robot_A => 3, d, north
robot_A => 3, e, north
robot_A => 3, e, north
robot_A => 3, e, east
robot_A => 3, e, south
robot_A => 3, d, south
robot_A => 3, d, east
robot_A => 4, d, east
robot_A => 5, d, east
robot_A => 5, d, south
robot_A => 5, c, south
robot_A => 5, c, south
robot_B => 6, f, south
robot_B => 6, f, west
robot_B => 5, f, west
robot_B => 4, f, west
robot_B => 3, f, west
robot_B => 3, f, south
robot_B => 3, e, south
robot_B => 3, e, south
robot_B => 3, e, east
robot_B => 3, e, south
robot_B => 3, d, south
robot_B => 3, d, east
robot_B => 4, d, east
robot_B => 5, d, east
robot_B => 5, d, south
robot_B => 5, c, south
robot_B => 5, c, south
robot_B => 5, c, south
robot_B => 5, c, west
robot_B => 4, c, west
robot_B => 4, c, south
robot_B => 4, b, south
robot_B => 4, b, south
robot_B => 4, b, west
robot_B => 3, b, west
robot_B => 3, b, west
robot_B => 3, b, north
robot_B => 3, b, east
robot_B => 4, b, east
robot_B => 4, b, south
robot_B => 4, a, south
robot_B => 4, a, south
robot_B => 4, a, west
robot_B => 3, a, west
robot_B => 2, a, west
robot_B => 1, a, west
robot_A => 1, a, north
robot_A => 1, a, east
robot_A => 2, a, east
robot_A => 3, a, east
robot_A => 3, a, north
robot_A => 3, a, east
robot_A => 4, a, east
robot_A => 4, a, north
robot_A => 4, b, north
robot_A => 4, b, west
robot_A => 3, b, west
robot_A => 3, b, west
robot_A => 3, b, north
robot_A => 3, c, north
robot_A => 3, d, north
robot_A => 3, d, north
robot_A => 3, e, north
robot_A => 3, e, north
robot_A => 3, e, east
robot_A => 3, e, south
robot_A => 3, d, south
robot_A => 3, d, east
robot_A => 4, d, east
robot_A => 5, d, east
robot_A => 5, d, south
robot_A => 5, c, south
robot_A => 5, c, south
robot_A => 1, a, north
robot_A => 1, a, east
robot_A => 2, a, east
robot_A => 3, a, east
robot_A => 3, a, north
robot_A => 3, a, east
robot_A => 4, a, east
robot_A => 4, a, north
robot_A => 4, b, north
robot_A => 4, b, west
robot_A => 3, b, west
robot_A => 3, b, west
robot_A => 3, b, north
robot_A => 3, c, north
robot_A => 3, d, north
robot_A => 3, d, north
robot_A => 3, e, north
robot_A => 3, e, north
robot_A => 3, e, east
robot_A => 3, e, south
robot_A => 3, d, south
robot_A => 3, d, east
robot_A => 4, d, east
robot_A => 5, d, east
robot_A => 5, d, south
robot_A => 5, c, south
robot_A => 5, c, south
robot_A => 1, a, north
robot_A => 1, a, east
robot_A => 2, a, east
robot_A => 3, a, east
robot_A => 3, a, north
robot_A => 3, a, east
robot_A => 4, a, east
robot_A => 4, a, north
robot_A => 4, b, north
robot_A => 4, b, west
robot_A => 3, b, west
robot_A => 3, b, west
robot_A => 3, b, north
robot_A => 3, c, north
robot_A => 3, d, north
robot_A => 3, d, north
robot_A => 3, e, north
robot_A => 3, e, north
robot_A => 3, e, east
robot_A => 3, e, south
robot_A => 3, d, south
robot_A => 3, d, east
robot_A => 4, d, east
robot_A => 5, d, east
robot_A => 5, d, south
robot_A => 5, c, south
robot_A => 5, c, south
robot_B => 6, f, south
robot_A => 1, a, north
robot_A => 1, a, east
robot_A => 2, a, east
robot_A => 3, a, east
robot_A => 3, a, north
robot_A => 3, a, east
robot_A => 4, a, east
robot_A => 4, a, north
robot_A => 4, b, north
robot_A => 4, b, west
robot_A => 3, b, west
robot_A => 3, b, west
robot_A => 3, b, north
robot_A => 3, c, north
robot_A => 3, d, north
robot_A => 3, d, north
robot_A => 3, e, north
robot_A => 3, e, north
robot_A => 3, e, east
robot_A => 3, e, south
robot_A => 3, d, south
robot_A => 3, d, east
robot_A => 4, d, east
robot_A => 5, d, east
robot_A => 5, d, south
robot_A => 5, c, south
robot_A => 5, c, south
robot_A => 1, a, north
robot_A => 1, a, east
robot_A => 2, a, east
robot_A => 3, a, east
robot_A => 3, a, north
robot_A => 3, a, east
robot_A => 4, a, east
robot_A => 4, a, north
robot_A => 4, b, north
robot_A => 4, b, west
robot_A => 3, b, west
robot_A => 3, b, west
robot_A => 3, b, north
robot_A => 3, c, north
robot_A => 3, d, north
robot_A => 3, d, north
robot_A => 3, e, north
robot_A => 3, e, north
robot_A => 3, e, east
robot_A => 3, e, south
robot_A => 3, d, south
robot_A => 3, d, east
robot_A => 4, d, east
robot_A => 5, d, east
robot_A => 5, d, south
robot_A => 5, c, south
robot_A => 5, c, south
robot_B => 6, f, south
robot_A => 1, a, north
robot_B => 6, f, south
robot_A => 1, a, east
robot_B => 6, f, west
robot_A => 2, a, east
robot_B => 5, f, west
robot_A => 3, a, east
robot_B => 4, f, west
robot_A => 3, a, north
robot_B => 3, f, west
robot_A => 3, a, east
robot_B => 3, f, south
robot_A => 4, a, east
robot_B => 3, e, south
robot_A => 4, a, north
robot_B => 3, e, south
robot_A => 1, a, north
robot_A => 1, a, east
robot_A => 2, a, east
robot_A => 3, a, east
robot_A => 3, a, north
robot_A => 3, a, east
robot_A => 4, a, east
robot_A => 4, a, north
robot_A => 4, b, north
robot_A => 4, b, west
robot_A => 3, b, west
robot_A => 3, b, west
robot_A => 3, b, north
robot_A => 3, c, north
robot_A => 3, d, north
robot_A => 3, d, north
robot_A => 3, e, north
robot_A => 3, e, north
robot_A => 3, e, east
robot_A => 3, e, south
robot_A => 3, d, south
robot_A => 3, d, east
robot_A => 4, d, east
robot_A => 5, d, east
robot_A => 5, d, south
robot_A => 5, c, south
robot_A => 5, c, south
robot_B => 6, f, south
robot_A => 1, a, north
robot_A => 1, a, north
robot_B => 6, f, south
robot_A => 1, a, east
robot_B => 6, f, west
robot_A => 2, a, east
robot_B => 5, f, west
robot_A => 3, a, east
robot_B => 4, f, west
robot_A => 3, a, north
robot_B => 3, f, west
robot_A => 3, a, east
robot_B => 3, f, south
robot_A => 4, a, east
robot_B => 3, e, south
robot_A => 4, a, north
robot_B => 3, e, south
robot_A => 4, b, north
robot_B => 3, e, east
robot_A => 4, b, west
robot_B => 3, e, south
robot_A => 3, b, west
robot_B => 3, d, south
robot_A => 3, b, west
robot_B => 3, d, east
robot_A => 3, b, north
robot_B => 4, d, east
robot_A => 3, c, north
robot_B => 5, d, east
robot_A => 3, d, north
robot_B => 5, d, south
robot_A => 3, d, north
robot_B => 5, c, south
robot_A => 3, d, east
robot_B => 5, c, south
robot_A => 4, d, east
robot_A => 1, a, north
robot_B => 6, f, south
robot_A => 1, a, east
robot_B => 6, f, west
robot_A => 2, a, east
robot_B => 5, f, west
robot_A => 3, a, east
robot_B => 4, f, west
robot_A => 3, a, north
robot_B => 3, f, west
robot_A => 3, a, east
robot_B => 3, f, south
robot_A => 4, a, east
robot_B => 3, e, south
robot_A => 4, a, north
robot_B => 3, e, south
robot_A => 4, b, north
robot_B => 3, e, east
robot_A => 4, b, west
robot_B => 3, e, south
robot_A => 3, b, west
robot_B => 3, d, south
robot_A => 3, b, west
robot_B => 3, d, east
robot_A => 3, b, north
robot_B => 4, d, east
robot_A => 3, c, north
robot_B => 5, d, east
robot_A => 3, d, north
robot_B => 5, d, south
robot_A => 3, d, north
robot_B => 5, c, south
robot_A => 3, d, east
robot_B => 5, c, south
